,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
18/04/2023,0.03,-0.12,-0.04,0.14,-0.16,-0.01,0.07,0.09,0.06,-0.05,0.11,-0.11,0.04,-0.15,-0.02,0.13,0.05,0.12,-0.12,-0.04,-0.10,-0.07,0.08,0.09
19/04/2023,-0.01,-0.05,-0.11,0.17,-0.07,-0.03,-0.07,0.17,-0.01,0.10,0.07,-0.16,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
20/04/2023,0.06,0.04,0.06,-0.17,-0.04,0.06,0.11,-0.13,-0.07,-0.07,0.17,-0.02,0.08,0.00,0.08,-0.17,0.01,0.08,0.08,-0.17,-0.07,-0.09,0.01,0.16
21/04/2023,0.10,-0.08,0.07,-0.08,-0.02,0.10,-0.15,0.06,0.09,-0.04,-0.13,0.08,0.00,1.00,0.00,1.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
22/04/2023,0.10,-0.08,0.07,-0.09,0.00,0.00,0.00,0.00,0.07,-0.11,0.09,-0.06,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00,0.00
23/04/2023,-0.13,0.15,0.01,-0.04,-0.03,-0.14,-0.01,0.17,-0.05,-0.07,-0.04,0.17,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
24/04/2023,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.04,0.14,-0.13,0.06,-0.08,-0.09,0.11,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00,0.00
25/04/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.17,0.00,0.01,0.16,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0.00
26/04/2023,-0.12,-0.04,0.15,0.01,-0.10,0.17,-0.02,-0.05,-0.11,-0.06,0.01,0.16,0.04,0.10,0.02,-0.17,0.05,0.11,-0.09,-0.08,-0.07,-0.10,0.09,0.08
27/04/2023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00
28/04/2023,0.00,0.00,1.00,-1.00,1.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29/04/2023,-0.04,-0.05,-0.08,0.17,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00
30/04/2023,0.07,-0.05,-0.12,0.10,-0.11,0.14,-0.05,0.03,-0.06,-0.07,-0.04,0.17,0.00,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0.00,-1.00,0.00,0.00
