,,,,,,,Limitations pérennes,,Limitations temporaires,,,,,,,,,,,,
Code,Nom,Région,Voltage,Validation comité,État,Priorité,Injection,Soutirage,Injection,Soutirage,Proposition de raccordement,Responsable,Capacité accueil HTB1,Date envoi D1,Semaine envoi,Date réception D1,Score Poste,GeopointPoste,Délai de raccordement (mois),Commentaire ,D1 envoyés
MTFO5,MONTFORT,BRETAGNE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 90 kV de MONTFORT,Timothée,> 15.0MW,03/06/2024,Semaine 23 juin 2024,,1,"48.148483526359875, -1.9476704406581573",,,1
M.LAN,MONTAGNY-LES-LANCHES,AUVERGNE-RHÔNE-ALPES,400kV,NOGO,Reçu,,2000,2000,0,2000,antenne sur le poste 63 kV de Montagny les Lanches,Julien,> 15.0MW,04/06/2024,Semaine 23 juin 2024,,1,"45.86533509094662, 6.056896575066174",,,1
MARNI,MARNISE (LA),AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,04/06/2024,Semaine 23 juin 2024,,"1,5","45.728016605397535, 5.696218370716618",,,1
SSLAC,STE-HELENE-DU-LAC,AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,04/06/2024,Semaine 23 juin 2024,,1,"45.47078158680289, 6.042628576817089",,,1
COR.P,CORDEMAIS-POSTE,PAYS-DE-LA-LOIRE,400kV,,En attente,,-,-,-,-,-,Timothée,,05/06/2024,Semaine 23 juin 2024,,-,"47.28581387617508, -1.870560279202475",,,1
GALOR,GALOREAUX,PAYS-DE-LA-LOIRE,400kV,NOGO,Reçu,,2000,2000,0,0,antenne sur le poste 225 kV de GALOREAUX,Timothée,,05/06/2024,Semaine 23 juin 2024,,-,"47.31026839631219, -0.8549991269389097",,,1
OUDON,OUDON,PAYS-DE-LA-LOIRE,400kV,,En attente,,-,-,-,-,-,Timothée,,05/06/2024,Semaine 23 juin 2024,,-,"47.98643523041055, -1.0086416903859967",,,1
JUMEA,JUMEAUX(LES),NOUVELLE-AQUITAINE,400kV,NOGO,Reçu,,2000,0,2000,2000,"piquage sur la liaison AIRVAULT – MIREBEAU n°2
 (pas de HTB 1 dans le poste LES JUMEAUX)",Timothée,,05/06/2024,Semaine 23 juin 2024,,-,"46.80171675705991, -0.07171181372334302",,,1
ALERI,ALERIE,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 90 kV d'ALERIE,Pierre-Olivier,> 15.0MW,10/06/2024,Semaine 24 juin 2024,,1,"49.295887527297765, -1.2713747873219778",,,1
C.HUI,CONDE-SUR-HUISNE,BASSE-NORMANDIE,90kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 90 kV de CONDE SUR HUISNE,Pierre-Olivier,> 15.0MW,10/06/2024,Semaine 24 juin 2024,,"1,5","48.386834639590504, 0.853664480792189",,,1
COQUA,COQUAINVILLIERS,BASSE-NORMANDIE,225kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 90 kV de VALLE,Pierre-Olivier,> 15.0MW,10/06/2024,Semaine 24 juin 2024,,1,"49.21108300887101, 0.1955843402140756",,,1
AVRAN,AVRANCHES,BASSE-NORMANDIE,90kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 90kV d'AVRANCHES,Pierre-Olivier,> 15.0MW,10/06/2024,Semaine 24 juin 2024,,1,"48.6752190628029, -1.3150815720196893",,,1
LAUNA,LAUNAY,BASSE-NORMANDIE,400kV,NOGO,Reçu,,0,2000,0,0,Antenne sur le poste 225 kV de LAUNAY,Pierre-Olivier,> 15.0MW,10/06/2024,Semaine 24 juin 2024,,1,"48.56379857393237, -1.2605547459677309",,,1
PAPIN,PAPIN,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,2000,2000,2000,2000,Antenne sur le poste 63 kV de SALAISE,Julien,<= 0.0MW,11/06/2024,Semaine 24 juin 2024,,-,"45.34348164015123, 4.794245146796584",,,1
SANDO,SANDOUVILLE,HAUTE-NORMANDIE,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","49.47560445741015, 0.2953947442089843",,,1
ATTAQ,LES ATTAQUES,HAUTS-DE-FRANCE,400kV,NOGO,Reçu,,0,2000,2000,2000,Antenne sur le poste 225 kV d'ATTAQUES,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","50.92145079702976, 1.9140558191229573",,,1
BXCH5,BEAUCHAMPS,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de BEUCHAMPS,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","50.006975572653836, 1.5248716561268125",,,1
ESTR6,ESTREUX,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV d'ESTREUX,Pierre-Olivier,,11/06/2024,Semaine 24 juin 2024,,1,"50.35921447933212, 3.609584022340625",,,1
GAVRE,GAVRELLE,HAUTS-DE-FRANCE,400kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,1,"50.336635493223035, 2.8859962683530713",,,1
HOLQU,HOLQUE,HAUTS-DE-FRANCE,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","50.85076846694744, 2.2114851851833026",,,1
MORU,MORU,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de MORU,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","49.311108487403814, 2.6746042082431263",,,1
PRRTT,PIERRETTE (LA),HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de PIERRETTE,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,1,"50.62329158012424, 2.9924832355467017",,,1
THIER,THIERS,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de THIERS,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,"1,5","50.40516430777369, 3.563983379378133",,,1
VICOG,LA VICOGNE,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de VICOGNE,Pierre-Olivier,> 15.0MW,11/06/2024,Semaine 24 juin 2024,,1,"50.07404155976654, 2.327650929471805",,,1
AOSTE,AOSTE,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,12/06/2024,Semaine 24 juin 2024,,1,"45.58375666482044, 5.6114126290935555",,,1
B.TOL,BOIS-TOLLOT,AUVERGNE-RHÔNE-ALPES,400kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,12/06/2024,Semaine 24 juin 2024,,1,"46.25080787808396, 6.0552916258944585",,,1
CORNI,CORNIER (E.D.F. ET S.N.C.F.),AUVERGNE-RHÔNE-ALPES,400kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,12/06/2024,Semaine 24 juin 2024,,1,"46.08402778660497, 6.296550582582664",,,1
FROGE,FROGES,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,12/06/2024,Semaine 24 juin 2024,,"2,5","45.26580958919765, 5.917247014402472",,,1
TAVEL,TAVEL,OCCITANIE,400kV,,En attente,,-,-,-,-,-,Oswald,,12/06/2024,Semaine 24 juin 2024,,-,"44.014730839721004, 4.643325004107217",,,1
G.CHE,GRAND-CHENE,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,13/06/2024,Semaine 24 juin 2024,,,"46.43982540653623, 5.331606717737475",,,1
L.SAU,LONS-LE-SAUNIER,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,13/06/2024,Semaine 24 juin 2024,,,"46.692110482538894, 5.56288431648648",,,1
FERRA,LA FERRANDE,CENTRE,90kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,13/06/2024,Semaine 24 juin 2024,,1,"46.63134288547418, 1.039794686290615",,,1
ROUS6,ROUSSINES,CENTRE,90kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,13/06/2024,Semaine 24 juin 2024,,"1,5","46.438404332098465, 1.3558829800091434",,,1
VAILL,VAILLY,CENTRE,63kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 63 kV de VAILLY,Oswald,<= 0.0MW,13/06/2024,Semaine 24 juin 2024,,1,"47.45147154952369, 2.6402256356528007",,,1
VENES,VENESMES,CENTRE,90kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 90 kV de VENESMES,Oswald,<= 0.0MW,x,,,1,"46.85853925206271, 2.294010412262199",,,1
AILLE,AILLEVILLE,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV d'AILLEVILLE,Oswald,de 0.0MWà 15.0MW,13/06/2024,Semaine 24 juin 2024,02/09/2024,,"48.24881006999634, 4.6892228577778745",,,1
AMELE,AMELECOURT (CHATEAU-SALINS),GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV d'AMELECOURT,Oswald,de 0.0MWà 15.0MW,13/06/2024,Semaine 24 juin 2024,02/09/2024,,"48.83018423830623, 6.495364702485401",,,1
ROHRW,ROHRWILLER,GRAND-EST,63kV,NOGO,Reçu,,,,,,"raccordement impossible
 le poste appartient à Electricité de Strasbourg",Oswald,> 15.0MW,13/06/2024,Semaine 24 juin 2024,02/09/2024,,"48.751250250775875, 7.910595745820447",,Appartient à Electricité de Strasbourg ,1
VOUZI,VOUZIERS,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de VOUZIERS,Oswald,<= 0.0MW,13/06/2024,Semaine 24 juin 2024,02/09/2024,-,"49.39481686139752, 4.678289934352915",,,1
SSGCO,ST GERAUD DE CORPS,NOUVELLE-AQUITAINE,225kV,,En attente,,-,-,-,-,-,Timothée,,13/06/2024,Semaine 24 juin 2024,,-,"44.93952814772604, 0.23682094087795114",,,1
CALA5,CALANS,BRETAGNE,400kV,,En attente,,-,-,-,-,-,Timothée,,13/06/2024,Semaine 24 juin 2024,,-,"47.88060499128728, -3.3033274898329728",,,1
BXTO5,BEAUTOR,HAUTS-DE-FRANCE,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV de BEAUTOR,Pierre-Olivier,<= 0.0MW,19/06/2024,Semaine 25 juin 2024,,-,"49.65398977301366, 3.326496108768671",,AO Heidelberg,1
DUGNY,DUGNY,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de DUGNY,Oswald,de 0.0MWà 15.0MW,19/06/2024,Semaine 25 juin 2024,02/09/2024,-,"49.122217292145635, 5.39429874232196",,AO Heidelberg,1
SSJOU,ST LAURENT DE JOURDES,NOUVELLE-AQUITAINE,90kV,,En attente,,-,-,-,-,-,Timothée,<= 0.0MW,19/06/2024,Semaine 25 juin 2024,,-,"46.406730457977574, 0.5515115627832448",,AO Heidelberg,1
SAVER,SAVERNE,GRAND-EST,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,20/06/2024,Semaine 25 juin 2024,,"1,5","48.76158866766464, 7.376207664535158",,,1
SSMIH,ST-MIHIEL,GRAND-EST,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de ST MIHIEL,Oswald,> 15.0MW,20/06/2024,Semaine 25 juin 2024,02/09/2024,,"48.91092796268876, 5.508683434745747",,,1
SSPLA,STE-CROIX-EN-PLAINE,GRAND-EST,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,20/06/2024,Semaine 25 juin 2024,,,"48.01792024348111, 7.370338661904366",,,1
VITTE,VITTEL,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de VITTEL,Oswald,> 15.0MW,20/06/2024,Semaine 25 juin 2024,02/09/2024,,"48.18963332734064, 5.950380889871686",,,1
AMANV,AMANVILLERS,GRAND-EST,63kV,NOGO,Reçu,,0,2000,2000,0,Antenne sur le poste 63 kV d'AMANVILLIERS,Oswald,> 15.0MW,20/06/2024,Semaine 25 juin 2024,02/09/2024,2,"49.169826415031494, 6.051226602153924",,,1
TIVER,TIVERNON,CENTRE,225kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 90 kV de TIVERNON,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,,-,"48.16191805674242, 1.9215728277098514",,,1
AMNEV,AMNEVILLE,GRAND-EST,225kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 225 kV d'AMNEVILLE,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,09/02/2024,-,"49.2654844540533, 6.144419715465467",,,1
BARBU,BARBUISE,GRAND-EST,225kV,NOGO,Reçu,,2000,0,0,2000,Antenne sur le poste 63 kV de BARBUISE,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,09/02/2024,-,"48.56082398431704, 3.5919395333216193",,,1
BATZE,BATZENDORF,GRAND-EST,225kV,NOGO,Reçu,,2000,0,0,2000,Antenne sur le poste 225 kV de BATZENDORF,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,09/02/2024,-,"48.79913843879809, 7.724485282886339",,,1
C.MET,CROIX-DE-METZ,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de CROIX DE METZ,Oswald,> 15.0MW,24/06/2024,Semaine 26 juin 2024,02/09/2024,2,"48.69206033611371, 5.916662395977053",,,1
CERNA,CERNAY,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de CERNAY,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,02/09/2024,-,"49.2723144134607, 4.086229141214014",,,1
CHAL7,CHALAMPE,GRAND-EST,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,,-,"47.81409338443055, 7.5257915258993195",,,1
CRENE,CRENEY,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de CRENEY,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,02/09/2024,-,"48.34411599227476, 4.1385782496732455",,,1
CXSSE,LA CHAUSSEE,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de LA CHAUSSEE,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,02/09/2024,-,"48.83878924567549, 4.511727808157122",,,1
DAMER,DAMERY,GRAND-EST,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 63 kV de DAMERY,Oswald,<= 0.0MW,24/06/2024,Semaine 26 juin 2024,02/09/2024,-,"49.075644231776906, 3.870796939820851",,,1
G.BAN,GIVORS-BANS,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,28/06/2024,Semaine 26 juin 2024,,1,"45.5754963493184, 4.782298500601132",,,1
EGUZO,EGUZON,CENTRE,400kV,NOGO,Reçu,,2000,0,0,0,Antenne sur le poste 225 kV d'EGUZON,Oswald,<= 0.0MW,28/06/2024,Semaine 26 juin 2024,,-,"46.45782100363466, 1.620348303027686",,,1
IZERN,IZERNORE,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,0,2000,0,2000,antenne sur le poste 225 kV d'IZERNORE,Julien,> 15.0MW,28/06/2024,Semaine 26 juin 2024,,1,"46.199452813611785, 5.550183233655996",,,1
SERRI,SERRIERES,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,0,0,0,2000,Antenne sur le poste 225 kV de SERRIERES,Julien,> 15.0MW,28/06/2024,Semaine 26 juin 2024,,1,"45.887224198473874, 5.841707138775627",,,1
VOLVO,VOLVON,AUVERGNE-RHÔNE-ALPES,225kV,NOGO,Reçu,,0,0,0,0,Antenne sur le poste 225 kV de VOLVONS,Julien,> 15.0MW,28/06/2024,Semaine 26 juin 2024,,1,"45.55958198715763, 4.321527928657345",,,1
CZTRY,COURTRY,ILE DE FRANCE,225kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,28/06/2024,Semaine 26 juin 2024,,1,"48.547476556489144, 2.7732162121277915",,,1
C.FOU,CHAMP-FOURNIER,BOURGOGNE-FRANCHE-COMTÉ,63kV,NOGO,Reçu,,2000,2000,0,0,Antenne sur le poste 63 kV de CHAMP-FOURNIER,Oswald,> 15.0MW,02/07/2024,Semaine 27 juillet 2024,,-,"46.80354579786428, 5.181508984038548",,,1
MARTY,MARTYRE (LA),BRETAGNE,400kV,,En attente,,-,-,-,-,-,Timothée,,04/07/2024,Semaine 27 juillet 2024,,-,"48.44410788881442, -4.19346975313612",,,1
P.HA5,PLAINE-HAUTE,BRETAGNE,400kV,,En attente,,-,-,-,-,-,Timothée,,04/07/2024,Semaine 27 juillet 2024,,-,"48.42989757346927, -2.878255519870444",,,1
NIORT,NIORT,NOUVELLE-AQUITAINE,225kV,NOGO,Reçu,,0,0,2000,2000,Antenne sur le poste 90kV de NIORT,Timothée,<= 0.0MW,04/07/2024,Semaine 27 juillet 2024,,-,"46.34864189882648, -0.4335998191412631",,,1
RELE,RELE,GRAND-EST,225kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"48.96672414148395, 6.026572043505789",,,1
ROZEB,ROZEBOOM,HAUTS-DE-FRANCE,225kV,,En attente,,N/A,N/A,N/A,N/A,"raccordement impossible
le poste n'appartient pas à RTE (poste client)",Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"51.03568002103484, 2.2784559555918964",,,1
BOCHE,BOCHET (LE),AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"45.246336695070234, 6.409887883882895",,,1
GAVET,GAVET (FERROPEM),AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"45.07238808026705, 5.874419370658501",,,1
MERIQ,MERIQUETTE,PROVENCE-ALPES-COTE-D'AZUR,63kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"43.46122153466735, 4.908959956760413",,,1
P.CHR,PLEYBER-CHRIST,BRETAGNE,225kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,08/07/2024,Semaine 28 juillet 2024,,2,"48.52658760680055, -3.87137849301702",,,1
FENOU,FENOUILLERE,PROVENCE-ALPES-COTE-D'AZUR,63kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"43.462176714203835, 4.91431044216448",,,1
AMPE5,AMPERE,AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,08/07/2024,Semaine 28 juillet 2024,,3,"45.98746618273847, 4.729997541962755",,,1
JOUX,JOUX,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,08/07/2024,Semaine 28 juillet 2024,,2,"46.0094200377155, 4.7240457502191395",,,1
VLEFR,VILLEFRANCHE,AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Oswald,> 15.0MW,08/07/2024,Semaine 28 juillet 2024,,3,"45.97795353491445, 4.720157704086044",,,1
MOUGU,MOUGUERRE,NOUVELLE-AQUITAINE,225kV,,En attente,,0,2000,2000,2000,Antenne sur le poste 63 kV de MOUGUERRE,Oswald,<= 0.0MW,08/07/2024,Semaine 28 juillet 2024,,-,"43.48451615462851, -1.4411256559590262",,,1
TARN5,TARNOS,NOUVELLE-AQUITAINE,225kV,,En attente,,-,-,-,-,-,Oswald,,08/07/2024,Semaine 28 juillet 2024,,,"43.53025568273256, -1.5021267363228488",,,1
A.MER,ARGELES-SUR-MER,OCCITANIE,63kV,,En attente,,2000,2000,2000,2000,Antenne sur le poste 63 kV d'ARGELES,Oswald,<= 0.0MW,09/07/2024,Semaine 28 juillet 2024,,-,"42.54955354731976, 3.0074576871552705",,,1
AGUES,AGUESSAC,OCCITANIE,63kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,09/07/2024,Semaine 28 juillet 2024,,-,"44.14939204879012, 3.098886049362451",,,1
ARDOI,ARDOISE,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,09/07/2024,Semaine 28 juillet 2024,,-,"44.086339472986786, 4.703193912163479",,,1
BAIXA,BAIXAS,OCCITANIE,400kV,,En attente,,0,0,2000,2000,Antenne sur le poste 225 kV de BAIXAS,Oswald,<= 0.0MW,10/07/2024,Semaine 28 juillet 2024,,-,"42.73241251103283, 2.8039673028469916",,,1
BEZ.E,BEZIERS EST,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,,10/07/2024,Semaine 28 juillet 2024,,-,"43.35201303391261, 3.259839764986182",,,1
BARJA,BARJAC,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,,10/07/2024,Semaine 28 juillet 2024,,-,"44.314778272176504, 4.343085816505613",,,1
BREN5,BRENS,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,10/07/2024,Semaine 28 juillet 2024,,-,"43.90550327297916, 1.9598415774092137",,,1
C.ORB,CONQUES-SUR-ORBIEL,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,,10/07/2024,Semaine 28 juillet 2024,,-,"43.28589965112979, 2.3632981440572665",,,1
CROQU,CROQUELOUP,PAYS-DE-LA-LOIRE,90kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,11/07/2024,Semaine 28 juillet 2024,,1,"48.12715626815405, -1.0241060901340286",,,1
BENET,BENET,PAYS-DE-LA-LOIRE,90kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,11/07/2024,Semaine 28 juillet 2024,,1,"46.38683981069684, -0.6144387532698081",,,1
BOUFF,BOUFFERE,PAYS-DE-LA-LOIRE,90kV,,En attente,,-,-,-,-,-,Timothée,> 15.0MW,11/07/2024,Semaine 28 juillet 2024,,1,"46.974679835508034, -1.3384705135034713",,,1
BRUFF,BRUFFIERE,PAYS-DE-LA-LOIRE,90kV,,En attente,,0,0,2000,2000,Antenne sur le poste 90 kV de LA BRUFFIERE,Timothée,> 15.0MW,11/07/2024,Semaine 28 juillet 2024,,1,"47.00234464695497, -1.1549452484738827",,,1
CHACE,CHACE,PAYS-DE-LA-LOIRE,90kV,,En attente,,N/A,N/A,N/A,N/A,raccordement sur le poste de CHACE impossible car il s'agit d'un poste client.,Timothée,> 15.0MW,11/07/2024,Semaine 28 juillet 2024,,3,"47.207859262562316, -0.0601609410986025",,,1
FACTU,FACTURE,NOUVELLE-AQUITAINE,63kV,,En attente,,-,-,-,-,-,Oswald,,11/07/2024,Semaine 28 juillet 2024,,,"44.63699102765367, -0.9718467987089057",,,1
CAZAR,CAZARIL,OCCITANIE,400kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,11/07/2024,Semaine 28 juillet 2024,,-,"43.17170027840534, 0.5140309716572746",,,1
COUFF,COUFFRAU,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,12/07/2024,Semaine 28 juillet 2024,,-,"43.73008028717582, 2.7963510816414208",,,1
FLORE,FLORENSAC,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,12/07/2024,Semaine 28 juillet 2024,,-,"43.386337251800214, 3.480930844508561",,,1
FOUSC,FOUSCAIS,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,12/07/2024,Semaine 28 juillet 2024,,-,"43.606187694084305, 3.457668331833653",,,1
GAUDI,GAUDIERE(LA),OCCITANIE,400kV,,En attente,,2000,0,2000,2000,Antenne sur le poste 225 kV de GAUDIERE,Oswald,> 15.0MW,12/07/2024,Semaine 28 juillet 2024,,-,"43.24177635087516, 2.678513598096674",,,1
I.ABE,ISLE D ABEAU,AUVERGNE-RHÔNE-ALPES,63kV,,En attente,,-,-,-,-,-,Julien,> 15.0MW,04/06/2024,Semaine 23 juin 2024,,"1,5","45.62802605161564, 5.211807266339649",,,1
ISSEL,ISSEL,OCCITANIE,400kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"43.38442219101895, 1.9835182038914478",,,1
JONQU,JONQUIERES,OCCITANIE,400kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"43.830076095979734, 4.583324112644984",,,1
LESQU,LESQUIVE,OCCITANIE,400kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"43.81681408195199, 1.2733437282628464",,,1
MARGE,MARGERIDE,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"44.79145340902452, 3.281156633404541",,,1
MOREA,MOREAU,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"43.21127456143616, 2.390459450407089",,,1
MTGRO,MONTGROS,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,,15/07/2024,Semaine 29 juillet 2024,,-,"44.79134492592795, 3.719775291545727",,,1
NEGR5,NEGREPELISSE,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"44.051007826025, 1.5120205239251763",,,1
O.CHA,ONET-LE-CHÂTEAU,OCCITANIE,225kV,,En attente,,-,-,-,-,-,Oswald,<= 0.0MW,15/07/2024,Semaine 29 juillet 2024,,-,"44.387266645040114, 2.6073058488470395",,,1
GERMI,GERMIGNY,BOURGOGNE-FRANCHE-COMTÉ,63kV,,En attente,,-,-,-,-,-,Pierre-Olivier,<= 0.0MW,17/07/2024,Semaine 29 juillet 2024,,-,"47.99618245464862, 3.7553864920684275",,,1
G.CO6,GRAND-COURBIS,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,,17/07/2024,Semaine 29 juillet 2024,,1,"45.005382292391694, 4.978605567762963",,,1
MIONS,MIONS,AUVERGNE-RHÔNE-ALPES,400kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,17/07/2024,Semaine 29 juillet 2024,,-,"45.67454191560925, 4.974691220873859",,,1
OULLI,OULLINS,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,18/07/2024,Semaine 29 juillet 2024,,2,"45.710935439311015, 4.819385559438704",,,1
P.EVE,PONT-EVEQUE,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,18/07/2024,Semaine 29 juillet 2024,,-,"45.521650858486446, 4.928104635395865",,,1
VENIS,VENISSIEUX,AUVERGNE-RHÔNE-ALPES,225kV,,En attente,,-,-,-,-,-,Pierre-Olivier,> 15.0MW,18/07/2024,Semaine 29 juillet 2024,,1,"45.71622359841886, 4.9058220120381195",,,1
